Parameters,Cumulative Return,Cumulative Long Return,Cumulative Short Return,Maximum Drawdown,Average Size
"(1, 2, 10, 11, 3)",0.914252390664132,1.252831285150461,-0.0631380932048705,-0.0503734080637183,16.02
"(1, 2, 10, 11, 4)",0.9681034568350178,1.2623001895916923,0.0671692442129601,-0.047451043645823,16.57
"(1, 2, 15, 7, 2)",0.8825692180064841,1.219414009080248,-0.0747802780469518,-0.0503734080637183,18.46
"(1, 2, 15, 7, 3)",0.9298887723281136,1.2387965297854118,0.0118196905341487,-0.0394022031584407,19.12
"(1, 2, 15, 7, 4)",0.9238566402202344,1.2387965297854158,-0.0073704454610323,-0.0394022031584405,19.69
"(1, 2, 15, 8, 2)",0.8823678829812556,1.2363027146772585,-0.1033030113199843,-0.0503734080637182,17.61
"(1, 2, 15, 8, 3)",0.9649143679861316,1.243274374182162,0.0977339360668891,-0.0394022031584407,18.31
"(1, 2, 15, 8, 4)",0.9218684593860468,1.233562239762433,-0.0026554385965915,-0.0394022031584407,18.75
"(1, 2, 15, 9, 2)",0.9296507113536124,1.232895634640308,0.0173297726989685,-0.0503734080637181,17.06
"(1, 2, 15, 9, 3)",0.9632986808030896,1.2506465112500948,0.0806237349535257,-0.047451043645823,17.79
"(1, 2, 15, 9, 4)",0.9394033041272478,1.2432743741821617,0.0283885566551003,-0.0412381337600572,18.23
"(1, 2, 15, 10, 2)",0.9154465460231512,1.2415221987753844,-0.0346428551389675,-0.0503734080637183,16.73
"(1, 2, 15, 10, 3)",0.9569320477898292,1.250646511250093,0.0630243271572821,-0.0474510436458226,17.5
"(1, 2, 15, 10, 4)",0.977631520738942,1.2479009656111728,0.1223562685740415,-0.0412381337600573,17.88
"(1, 2, 15, 11, 2)",0.8757888487736865,1.263211879517128,-0.1704297673339038,-0.0503734080637181,16.44
"(1, 2, 15, 11, 3)",0.9498620713630728,1.231352512222471,0.0755445583547078,-0.050373408063718,17.15
"(1, 2, 15, 11, 4)",0.9771424803915556,1.248329008381213,0.1187193666672534,-0.0412381337600572,17.65
"(1, 2, 20, 7, 2)",0.8987936770541789,1.2418745091460717,-0.0719594184966634,-0.0415906928005151,19.27
"(1, 2, 20, 7, 3)",0.9305736804403524,1.2335622397624313,0.0230126407555768,-0.0394022031584409,19.96
"(1, 2, 20, 7, 4)",0.8833180786621426,1.2335622397624295,-0.1010500696885692,-0.0355860001565607,20.73
"(1, 2, 20, 8, 2)",0.9381973271379712,1.2453291523734484,0.0203003081756192,-0.0353777829147496,18.47
"(1, 2, 20, 8, 3)",0.9340370984084704,1.2296918894481328,0.0411090274701608,-0.0394022031584407,19.18
"(1, 2, 20, 8, 4)",0.8771538739282114,1.2335622397624304,-0.1133832668091763,-0.0394022031584408,19.75
"(1, 2, 20, 9, 2)",0.8831340322843255,1.2136144053889155,-0.0646253087493858,-0.0503734080637181,17.91
"(1, 2, 20, 9, 3)",0.9497515113097288,1.2304559471194052,0.0829368933329266,-0.0412381337600574,18.73
"(1, 2, 20, 9, 4)",0.9071376785940508,1.2380296149915115,-0.0462820215361534,-0.0412381337600574,19.14
"(1, 2, 20, 10, 2)",0.928099537628832,1.2284385074510693,0.024655433154324,-0.0503734080637182,17.54
"(1, 2, 20, 10, 3)",0.9555239661115548,1.230455947119407,0.0956951120060467,-0.0412381337600574,18.25
"(1, 2, 20, 10, 4)",0.917038283765138,1.2296918894481408,-0.0071424992780229,-0.0412381337600573,18.78
"(1, 2, 20, 11, 2)",0.9088264580936788,1.2420884562844705,-0.0550482731871138,-0.0503734080637179,17.15
"(1, 2, 20, 11, 3)",0.9633404694636644,1.2438410743290516,0.0906908785033389,-0.0474510436458229,17.95
"(1, 2, 20, 11, 4)",0.9733993822508842,1.2430724314925263,0.1218669852475293,-0.041238133760057,18.53
"(1, 3, 5, 7, 2)",0.8943293949149493,1.469085329058712,-0.0265486518565613,-0.0503734080637181,15.67
